Date,Category,Description,Amount
2026-05-01,Food,Breakfast at cafe,120
2026-05-01,Transport,Bus ticket,40
2026-05-02,Food,Lunch,250
2026-05-02,Shopping,T-shirt purchase,800
2026-05-03,Bills,Electricity bill,2200
2026-05-03,Entertainment,Movie ticket,350
2026-05-04,Food,Dinner,420
2026-05-04,Transport,Petrol,1500
2026-05-05,Health,Medicines,600
2026-05-05,Food,Coffee,180
2026-05-06,Rent,Monthly rent,12000
2026-05-06,Shopping,Shoes,2500
2026-05-07,Food,Snacks,90
2026-05-07,Entertainment,Netflix subscription,649
2026-05-08,Transport,Auto fare,120
2026-05-08,Food,Groceries,1800
2026-05-09,Bills,Internet bill,999
2026-05-09,Health,Gym membership,1500
2026-05-10,Food,Pizza order,700
2026-05-10,Shopping,Backpack,1800
